query,volume,growth,seed_keyword,growth_rate,volume_score,growth_score,kd_score,score,grade,intent,intent_confidence,secondary_intent,intent_description,recommended_action
ai tool 教程,42,76.0,ai tool,76.0,0,14.049586776859504,50,16,D,C,0.67,I,商业型,创建对比页面或评测内容
ai tool 工具,57,8.0,ai tool,-8.0,0,0.0,50,10,D,C,1.0,,商业型,创建对比页面或评测内容
top ai tool,512,109.0,ai tool,109.0,0,20.867768595041323,50,18,D,C,1.0,,商业型,创建对比页面或评测内容
top ai tool,416,39.0,ai tool,39.0,0,6.404958677685951,50,13,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool best,583,461.0,ai tool,461.0,0,93.59504132231405,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top ai tool,737,394.0,ai tool,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
free ai tool,814,298.0,ai tool,298.0,0,59.917355371900825,50,34,C,C,1.0,,商业型,创建对比页面或评测内容
ai tool online,108,429.0,ai tool,429.0,0,86.98347107438016,50,45,C,C,1.0,,商业型,创建对比页面或评测内容
how to ai tool,693,392.0,ai tool,392.0,0,79.33884297520662,50,42,C,C,0.67,I,商业型,创建对比页面或评测内容
how to ai tool,881,53.0,ai tool,53.0,0,9.297520661157025,50,14,D,C,0.67,I,商业型,创建对比页面或评测内容
ai tool price,735,441.0,ai tool,441.0,0,89.46280991735537,50,46,C,C,0.67,E,商业型,创建对比页面或评测内容
top ai tool,996,247.0,ai tool,247.0,0,49.3801652892562,50,30,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool comparison,556,394.0,ai tool,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
how to ai tool,970,443.0,ai tool,443.0,0,89.87603305785125,50,46,C,C,0.67,I,商业型,创建对比页面或评测内容
最佳 ai tool,748,125.0,ai tool,125.0,0,24.173553719008265,50,20,D,C,1.0,,商业型,创建对比页面或评测内容
最佳 ai tool,622,11.0,ai tool,11.0,0,0.6198347107438017,50,10,D,C,1.0,,商业型,创建对比页面或评测内容
how to ai tool,952,75.0,ai tool,75.0,0,13.84297520661157,50,16,D,C,0.67,I,商业型,创建对比页面或评测内容
ai tool tips,471,185.0,ai tool,185.0,0,36.570247933884296,50,25,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool tool,652,400.0,ai tool,400.0,0,80.99173553719008,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
free ai tool,778,423.0,ai tool,423.0,0,85.74380165289256,50,44,C,C,1.0,,商业型,创建对比页面或评测内容
ai tool download,14,46.0,ai tool,-46.0,0,7.851239669421488,50,13,D,C,0.67,N,商业型,创建对比页面或评测内容
ai tool review,227,231.0,ai tool,231.0,0,46.074380165289256,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
free ai tool,512,180.0,ai tool,180.0,0,35.53719008264463,50,24,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool 教程,776,72.0,ai tool,72.0,0,13.223140495867769,50,15,D,C,0.67,I,商业型,创建对比页面或评测内容
ai tool price,407,16.0,ai tool,16.0,0,1.6528925619834711,50,11,D,C,0.67,E,商业型,创建对比页面或评测内容
top ai tool,880,136.0,ai tool,136.0,0,26.446280991735538,50,21,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool best,804,469.0,ai tool,469.0,0,95.24793388429752,50,48,C,C,1.0,,商业型,创建对比页面或评测内容
how to ai tool,402,128.0,ai tool,128.0,0,24.793388429752067,50,20,D,C,0.67,I,商业型,创建对比页面或评测内容
最佳 ai tool,216,235.0,ai tool,235.0,0,46.900826446280995,50,29,D,C,1.0,,商业型,创建对比页面或评测内容
how to ai tool,24,337.0,ai tool,337.0,0,67.97520661157024,50,37,C,C,0.67,I,商业型,创建对比页面或评测内容
free ai tool,867,150.0,ai tool,150.0,0,29.33884297520661,50,22,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool guide,563,484.0,ai tool,484.0,0,98.34710743801652,50,49,C,C,0.67,I,商业型,创建对比页面或评测内容
how to ai tool,901,479.0,ai tool,479.0,0,97.31404958677686,50,49,C,C,0.67,I,商业型,创建对比页面或评测内容
ai tool 指南,470,88.0,ai tool,88.0,0,16.52892561983471,50,17,D,C,0.67,I,商业型,创建对比页面或评测内容
最佳 ai tool,700,223.0,ai tool,223.0,0,44.421487603305785,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
best ai tool,584,115.0,ai tool,115.0,0,22.107438016528924,50,19,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool 工具,873,107.0,ai tool,107.0,0,20.454545454545453,50,18,D,C,1.0,,商业型,创建对比页面或评测内容
free ai tool,752,30.0,ai tool,-30.0,0,4.545454545454546,50,12,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool cost,250,285.0,ai tool,285.0,0,57.231404958677686,50,33,C,C,0.67,E,商业型,创建对比页面或评测内容
如何 ai tool,573,226.0,ai tool,226.0,0,45.04132231404959,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
best ai tool,105,22.0,ai tool,-22.0,0,2.8925619834710745,50,11,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool price,909,103.0,ai tool,103.0,0,19.628099173553718,50,18,D,C,0.67,E,商业型,创建对比页面或评测内容
top ai tool,743,450.0,ai tool,450.0,0,91.32231404958678,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top ai tool,494,82.0,ai tool,82.0,0,15.289256198347108,50,16,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool free,416,30.0,ai tool,30.0,0,4.545454545454546,50,12,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool review,240,219.0,ai tool,219.0,0,43.59504132231405,50,27,D,C,1.0,,商业型,创建对比页面或评测内容
ai tool review,758,492.0,ai tool,492.0,0,100.0,50,50,C,C,1.0,,商业型,创建对比页面或评测内容
ai tool guide,664,83.0,ai tool,83.0,0,15.49586776859504,50,16,D,C,0.67,I,商业型,创建对比页面或评测内容
