词根,状态,平均兴趣度,峰值兴趣度,趋势方向,相关查询数量
AI,成功,92.5,138,declining,4
artificial intelligence,成功,97.5,146,declining,8
machine learning,成功,21.6,32,stable,10
deep learning,成功,25.54,38,declining,10
neural network,成功,155.0,232,declining,2
chatbot,成功,72.0,108,declining,5
GPT,成功,4.64,6,stable,10
OpenAI,成功,358.33,537,declining,6
ChatGPT,成功,2275.0,3412,declining,2
language model,成功,8110.0,12165,declining,2
computer vision,成功,8200.0,12300,declining,3
natural language processing,成功,26.81,40,declining,10
NLP,成功,50.0,75,declining,2
automation,成功,50.0,75,declining,2
robot,成功,5150.91,7726,stable,10
algorithm,成功,745.0,1117,declining,10
data science,成功,97.14,145,stable,10
big data,成功,11300.0,16950,declining,1
analytics,成功,150.0,225,declining,5
prediction,成功,3020.0,4530,stable,10
classification,成功,32640.0,48960,declining,7
clustering,成功,117.14,175,declining,7
regression,成功,85.56,128,declining,9
supervised learning,成功,32300.0,48450,declining,1
unsupervised learning,成功,89900.0,134850,declining,1
reinforcement learning,成功,120.0,180,declining,1
transfer learning,成功,39.67,59,declining,6
generative AI,成功,350.0,525,declining,1
LLM,成功,1107.14,1660,declining,7
transformer,成功,65.0,97,declining,2
BERT,成功,400.0,600,declining,1
attention mechanism,成功,100.0,150,declining,1
encoder,成功,65.0,97,declining,6
decoder,成功,50.0,75,declining,3
embedding,成功,40.0,60,declining,1
tokenization,成功,63.33,95,declining,3
fine-tuning,成功,70.0,105,declining,1
prompt engineering,成功,2348.57,3522,declining,7
few-shot learning,成功,10.0,15,stable,0
zero-shot learning,成功,10.0,15,stable,0
multimodal,成功,405.0,607,declining,2
text-to-image,成功,170.0,255,declining,3
image generation,成功,31.0,46,declining,10
voice synthesis,成功,10.0,15,stable,0
speech recognition,成功,125.0,187,declining,2
recommendation system,成功,145.0,217,declining,2
personalization,成功,93.33,140,declining,3
content generation,成功,40.0,60,declining,1
code generation,成功,52.5,78,declining,4
AI assistant,成功,33.0,49,declining,10
